+====================+====================+=========================================================+
| Launch Setup Clock | Launch Hold Clock  | Pin                                                     |
+====================+====================+=========================================================+
| clk50mhz_clk_wiz_1 | clk50mhz_clk_wiz_1 | Inst_md_io/Inst_VGA/colision_detectada_reg/D            |
| sys_clk_pin        | clk50mhz_clk_wiz_1 | Inst_md_io/Inst_VGA/fruta_generada_reg_replica/D        |
| sys_clk_pin        | clk50mhz_clk_wiz_1 | Inst_md_io/Inst_VGA/fruta_generada_reg/D                |
| sys_clk_pin        | clk50mhz_clk_wiz_1 | Inst_md_io/Inst_VGA/fruit_y_s_reg[4]_replica/R          |
| sys_clk_pin        | clk50mhz_clk_wiz_1 | Inst_md_io/Inst_VGA/fruit_y_s_reg[3]/S                  |
| sys_clk_pin        | clk50mhz_clk_wiz_1 | Inst_md_io/Inst_VGA/fruit_y_s_reg[4]/R                  |
| sys_clk_pin        | clk50mhz_clk_wiz_1 | Inst_md_io/Inst_VGA/fruit_y_s_reg[5]/R                  |
| sys_clk_pin        | clk50mhz_clk_wiz_1 | Inst_md_io/Inst_VGA/fruit_y_s_reg[0]/R                  |
| sys_clk_pin        | clk50mhz_clk_wiz_1 | Inst_md_io/Inst_VGA/fruit_x_s_reg[1]/R                  |
| sys_clk_pin        | clk50mhz_clk_wiz_1 | Inst_md_io/Inst_VGA/fruit_y_s_reg[2]_replica/R          |
| sys_clk_pin        | clk50mhz_clk_wiz_1 | Inst_md_io/Inst_VGA/fruit_y_s_reg[5]_replica/R          |
| sys_clk_pin        | clk50mhz_clk_wiz_1 | Inst_md_io/Inst_VGA/fruit_y_s_reg[1]_replica/S          |
| sys_clk_pin        | clk50mhz_clk_wiz_1 | Inst_md_io/Inst_VGA/fruit_x_s_reg[0]_replica/R          |
| sys_clk_pin        | clk50mhz_clk_wiz_1 | Inst_md_io/Inst_VGA/fruit_x_s_reg[2]_replica/S          |
| sys_clk_pin        | clk50mhz_clk_wiz_1 | Inst_md_io/Inst_VGA/fruit_x_s_reg[0]/R                  |
